cohort_month,month_number,active_customers
2023-09-01,0,831
2023-09-01,1,134
2023-09-01,2,126
2023-09-01,3,142
2023-09-01,4,142
2023-09-01,5,146
2023-09-01,6,139
2023-09-01,7,139
2023-09-01,8,152
2023-09-01,9,127
2023-09-01,10,136
2023-09-01,11,141
2023-09-01,12,136
2023-09-01,13,133
2023-09-01,14,148
2023-09-01,15,166
2023-09-01,16,134
2023-09-01,17,131
2023-09-01,18,145
2023-09-01,19,140
2023-09-01,20,141
2023-09-01,21,125
2023-09-01,22,141
2023-09-01,23,142
2023-09-01,24,61
2023-10-01,0,1217
2023-10-01,1,194
2023-10-01,2,164
2023-10-01,3,207
2023-10-01,4,187
2023-10-01,5,192
2023-10-01,6,211
2023-10-01,7,196
2023-10-01,8,205
2023-10-01,9,212
2023-10-01,10,192
2023-10-01,11,198
2023-10-01,12,207
2023-10-01,13,198
2023-10-01,14,221
2023-10-01,15,208
2023-10-01,16,185
2023-10-01,17,214
2023-10-01,18,191
2023-10-01,19,219
2023-10-01,20,207
2023-10-01,21,224
2023-10-01,22,217
2023-10-01,23,81
2023-11-01,0,961
2023-11-01,1,153
2023-11-01,2,149
2023-11-01,3,145
2023-11-01,4,174
2023-11-01,5,166
2023-11-01,6,156
2023-11-01,7,152
2023-11-01,8,170
2023-11-01,9,144
2023-11-01,10,147
2023-11-01,11,136
2023-11-01,12,177
2023-11-01,13,154
2023-11-01,14,157
2023-11-01,15,159
2023-11-01,16,167
2023-11-01,17,151
2023-11-01,18,164
2023-11-01,19,152
2023-11-01,20,168
2023-11-01,21,163
2023-11-01,22,53
2023-12-01,0,914
2023-12-01,1,154
2023-12-01,2,154
2023-12-01,3,143
2023-12-01,4,143
2023-12-01,5,163
2023-12-01,6,135
2023-12-01,7,140
2023-12-01,8,150
2023-12-01,9,168
2023-12-01,10,152
2023-12-01,11,160
2023-12-01,12,145
2023-12-01,13,150
2023-12-01,14,138
2023-12-01,15,152
2023-12-01,16,139
2023-12-01,17,166
2023-12-01,18,150
2023-12-01,19,147
2023-12-01,20,152
2023-12-01,21,61
2024-01-01,0,625
2024-01-01,1,93
2024-01-01,2,115
2024-01-01,3,103
2024-01-01,4,104
2024-01-01,5,105
2024-01-01,6,111
2024-01-01,7,102
2024-01-01,8,100
2024-01-01,9,112
2024-01-01,10,99
2024-01-01,11,105
2024-01-01,12,103
2024-01-01,13,105
2024-01-01,14,116
2024-01-01,15,99
2024-01-01,16,99
2024-01-01,17,101
2024-01-01,18,105
2024-01-01,19,118
2024-01-01,20,48
2024-02-01,0,535
2024-02-01,1,95
2024-02-01,2,84
2024-02-01,3,73
2024-02-01,4,84
2024-02-01,5,84
2024-02-01,6,92
2024-02-01,7,64
2024-02-01,8,91
2024-02-01,9,87
2024-02-01,10,88
2024-02-01,11,80
2024-02-01,12,69
2024-02-01,13,86
2024-02-01,14,84
2024-02-01,15,86
2024-02-01,16,80
2024-02-01,17,78
2024-02-01,18,86
2024-02-01,19,33
2024-03-01,0,447
2024-03-01,1,78
2024-03-01,2,73
2024-03-01,3,65
2024-03-01,4,84
2024-03-01,5,76
2024-03-01,6,78
2024-03-01,7,82
2024-03-01,8,66
2024-03-01,9,74
2024-03-01,10,67
2024-03-01,11,72
2024-03-01,12,65
2024-03-01,13,83
2024-03-01,14,82
2024-03-01,15,80
2024-03-01,16,71
2024-03-01,17,67
2024-03-01,18,29
2024-04-01,0,410
2024-04-01,1,65
2024-04-01,2,55
2024-04-01,3,73
2024-04-01,4,58
2024-04-01,5,72
2024-04-01,6,65
2024-04-01,7,65
2024-04-01,8,54
2024-04-01,9,68
2024-04-01,10,61
2024-04-01,11,70
2024-04-01,12,65
2024-04-01,13,60
2024-04-01,14,72
2024-04-01,15,79
2024-04-01,16,69
2024-04-01,17,28
2024-05-01,0,330
2024-05-01,1,53
2024-05-01,2,56
2024-05-01,3,46
2024-05-01,4,58
2024-05-01,5,57
2024-05-01,6,56
2024-05-01,7,63
2024-05-01,8,45
2024-05-01,9,50
2024-05-01,10,45
2024-05-01,11,48
2024-05-01,12,47
2024-05-01,13,56
2024-05-01,14,57
2024-05-01,15,51
2024-05-01,16,22
2024-06-01,0,286
2024-06-01,1,38
2024-06-01,2,47
2024-06-01,3,49
2024-06-01,4,64
2024-06-01,5,41
2024-06-01,6,44
2024-06-01,7,48
2024-06-01,8,56
2024-06-01,9,44
2024-06-01,10,61
2024-06-01,11,45
2024-06-01,12,46
2024-06-01,13,49
2024-06-01,14,51
2024-06-01,15,24
2024-07-01,0,254
2024-07-01,1,40
2024-07-01,2,32
2024-07-01,3,38
2024-07-01,4,47
2024-07-01,5,36
2024-07-01,6,49
2024-07-01,7,31
2024-07-01,8,48
2024-07-01,9,42
2024-07-01,10,51
2024-07-01,11,45
2024-07-01,12,36
2024-07-01,13,42
2024-07-01,14,20
2024-08-01,0,165
2024-08-01,1,33
2024-08-01,2,31
2024-08-01,3,23
2024-08-01,4,30
2024-08-01,5,34
2024-08-01,6,24
2024-08-01,7,32
2024-08-01,8,28
2024-08-01,9,28
2024-08-01,10,29
2024-08-01,11,22
2024-08-01,12,29
2024-08-01,13,19
2024-09-01,0,163
2024-09-01,1,32
2024-09-01,2,35
2024-09-01,3,33
2024-09-01,4,24
2024-09-01,5,30
2024-09-01,6,25
2024-09-01,7,28
2024-09-01,8,21
2024-09-01,9,25
2024-09-01,10,30
2024-09-01,11,36
2024-09-01,12,5
2024-10-01,0,131
2024-10-01,1,18
2024-10-01,2,22
2024-10-01,3,23
2024-10-01,4,16
2024-10-01,5,23
2024-10-01,6,12
2024-10-01,7,24
2024-10-01,8,26
2024-10-01,9,19
2024-10-01,10,19
2024-10-01,11,10
2024-11-01,0,118
2024-11-01,1,16
2024-11-01,2,26
2024-11-01,3,15
2024-11-01,4,20
2024-11-01,5,19
2024-11-01,6,20
2024-11-01,7,19
2024-11-01,8,23
2024-11-01,9,25
2024-11-01,10,5
2024-12-01,0,107
2024-12-01,1,15
2024-12-01,2,21
2024-12-01,3,14
2024-12-01,4,22
2024-12-01,5,19
2024-12-01,6,27
2024-12-01,7,22
2024-12-01,8,19
2024-12-01,9,8
2025-01-01,0,90
2025-01-01,1,17
2025-01-01,2,11
2025-01-01,3,16
2025-01-01,4,20
2025-01-01,5,17
2025-01-01,6,12
2025-01-01,7,15
2025-01-01,8,4
2025-02-01,0,53
2025-02-01,1,8
2025-02-01,2,10
2025-02-01,3,6
2025-02-01,4,10
2025-02-01,5,10
2025-02-01,6,7
2025-02-01,7,3
2025-03-01,0,73
2025-03-01,1,20
2025-03-01,2,11
2025-03-01,3,9
2025-03-01,4,16
2025-03-01,5,12
2025-03-01,6,7
2025-04-01,0,52
2025-04-01,1,10
2025-04-01,2,8
2025-04-01,3,8
2025-04-01,4,5
2025-04-01,5,2
2025-05-01,0,44
2025-05-01,1,9
2025-05-01,2,12
2025-05-01,3,12
2025-05-01,4,2
2025-06-01,0,28
2025-06-01,1,6
2025-06-01,2,3
2025-06-01,3,2
2025-07-01,0,25
2025-07-01,1,4
2025-07-01,2,1
2025-08-01,0,37
2025-08-01,1,1
2025-09-01,0,7
